Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,% Residential Use,Comments/Corrections
Palmdale Water District,1,Yes,Jun-14,2613,2646,AF,,109395,,,,AF," 851,449,779 "," 862,202,876 ",80%,No Correction Needed
Olivehurst Public Utility District,2,Yes,Jun-14,511,592,AF,"5% for commercial, street-scape and parks.",19509,,,,," 166,510,079 "," 192,904,045 ",95%,No Correction Needed
Twentynine Palms Water District,Stage 1,Yes,Jun-14,279.536,298.701,AF,,18795,Direct contact with customers to inform and educate them on Stage 1 measures. ,,,," 91,087,204 "," 97,332,147 ",85%,No Correction Needed
Orchard Dale Water District,,No,Jun-14,226.09,219.72,AF,,19894,none,20% voluntary,,," 73,671,749 "," 71,596,076 ",100%,No Correction Needed
"Yreka, City of",1,Yes,Jun-14,88.63,102.62,MG,"Stage 2 of the Water Shortage Contingency Plan was invoked on July 29, 2014.",7765,,,,," 88,630,000 "," 102,620,000 ",49%,No Correction Needed
Rubidoux Community Service District,Stage 2,No,Jun-14,180.67,179.78,MG,,29900,,,,," 180,670,000 "," 179,780,000 ",80%,No Correction Needed
Quartz Hill Water District,Stage I,Yes,Jun-14,756.16,785.26,AF,,17500,,,,," 246,395,815 "," 255,878,092 ",100%,No Correction Needed
Pico Rivera  City of,Level 1,Yes,Jun-14,322,499,AF,,39002,,,,," 104,924,159 "," 162,599,862 ",95%,No Correction Needed
Rincon Del Diablo Municipal Water District,Level 2,Yes,Jun-14,687,707,AF,Commercial Water Use = 14%  Landscape Water Use = 8%  Ag Water Use = 1%  Construction Water Use = 3%,29955,,,179,AF," 223,859,930 "," 230,376,959 ",74%,No Correction Needed
Riverside Highland Water Company,Stage 2,Yes,Jun-14,427.2,429.6,AF,,14500,,Hanging conservation tags and talking to customers,,," 139,203,730 "," 139,985,773 ",90%,No Correction Needed
Rubio Canyon Land and Water Association,,Yes,Jun-14,215,210,AF,,9600,,,,," 70,058,057 "," 68,428,800 ",90%,No Correction Needed
Santa Fe Springs  City of,Voluntary Reduction,No,Jun-14,584.18,619.47,AF,Santa Fe Springs is comprised of 85% commercial / 15% residential properties.,18199,,,114.8,AF," 190,355,887 "," 201,855,183 ",26%,No Correction Needed
San Bernardino County Service Area 64,None,,Jun-14,344.54,358.57,AF,None,12497,"None as yet starting August 1, 2014","None as yet starting August 1, 2014",,," 112,268,851 "," 116,840,546 ",100%,No Correction Needed
Valley County Water District,Stage 1,No,Jun-14,778.88,794.19,AF,,70271,"First Violation - Educate and provide information about water use practices and conservation measures.  Second Violation - Written warning outlining the need for action to implement appropriate corrective measures.  Additional Violations - Monetary penalties:  Third Violation - $25.00 penalty, Fourth Violation - $50.00 penalty, Fifth Violation - $100.00 penalty","We adopted Ordinance 04-14-126 in May 2014, which outlined our general water conservation and water use efficiency practices. In July 2014, we adopted Resolution 07-14-752 declaring a Stage 1 Water Supply Emergency in accordance with Ordinance 04-14-126. Field employees were trained on the ordinance, the appropriate education and enforcement.  Administrative office is preparing a ""ticket"" booklet.",,," 253,799,159 "," 258,787,945 ",70%,No Correction Needed
San Jacinto  City of,Conservation Ordinance,No,Jun-14,131993,134830,CCF,,15200,,,,," 98,737,621 "," 100,859,844 ",90%,No Correction Needed
San Gabriel County Water District,1,No,Jun-14,579.96,592.01,AF,,45000,,,,," 188,980,794 "," 192,907,303 ",75%,No Correction Needed
Santa Ana  City of,0,Yes,Jun-14,3682.7,3565.3,AF,,332005,,"City Council is scheduled to declare Level-1 Water Shortage on September 16, 2014.  ",,," 1,200,013,050 "," 1,161,758,093 ",67%,No Correction Needed
San Juan Capistrano  City of,"On August 19, voting to declare Stage 2",Yes,Jun-14,737.3,868.3,AF,Agricultural accounts used 12.3 AF in June 2014.,38491,Staff responded to a number of water waste and leak calls from the public; formal tracking of these reports was not established until July.,,,," 240,250,257 "," 282,936,794 ",55%,No Correction Needed
Serrano Water District,1,Yes,Jun-14,322.6,335.1,AF,,6641,,,,," 105,119,670 "," 109,192,813 ",100%,No Correction Needed
Sunny Slope Water Company,,No,Jun-14,173735,171784,CCF,,30611,,,,," 129,962,805 "," 128,503,356 ",87%,DATA CORRECTION
Sonoma  City of,Stage 1,No,Jun-14,234.5,232.3,AF,"Taking a recommendation to the Sonoma City Council to go to Mandatory Stage 2 conservation on 8/18/14, restricting outdoor turf irrigation to 2 days per week.",11426,,,,," 76,412,160 "," 75,695,286 ",75%,No Correction Needed
Sweetwater Authority,Stage 1,No,Jun-14,1912.6,2054.4,AF,,189970,,,,," 623,223,439 "," 669,429,172 ",70%,No Correction Needed
Suburban Water Systems San Jose Hills,First Stage,No,Jun-14,2931,2957,AF,,178500,,,106.96,AF," 955,070,533 "," 963,542,670 ",70%,No Correction Needed
Ukiah  City of,1,No,Jun-14,108,124,MG,,16075,,,,," 108,000,000 "," 124,000,000 ",62%,No Correction Needed
Arcadia  City of,Phase I,Yes,Jun-14,1733.86,1697.25,AF,,45048,,,,," 564,980,755 "," 553,051,334 ",90%,No Correction Needed
Suburban Water Systems Whittier/La Mirada,First Stage,No,Jun-14,2226,2245,AF,,115000,,,,," 725,345,277 "," 731,536,454 ",70%,No Correction Needed
Golden State Water Company Artesia,Stage 2,Yes,Jun-14,509.5,517.5,AF,,53318,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",3.6,AF," 166,021,302 "," 168,628,113 ",94%,DATA CORRECTION
Golden State Water Company Claremont,Stage 2,Yes,Jun-14,1180.4,1272.4,AF,,35845,,"GSWC has proactively communicated information about the drought, conservation and outdoor water-use regulations with our customers and community leaders during 2014. A brief summary of communications includes:    January 2014: Supplied customer-facing employees with talking points to address the drought and encourage water-use efficiency.    February 2014: Implemented 20-percent voluntary conservation; message shared on website and via opinion editorials to local newspapers; water-use efficiency information shared at local community events.       March 2014: Shared water-use efficiency tips via website and news releases; water-use efficiency information shared at local community events.    April 2014: Created a graphic with the 20-percent voluntary conservation message and water-use efficiency tips, distributed to all customers as a bill insert and placed prominently on the website; distributed e-newsletter to customers with 20-percent voluntary conservation message, drought update and water-use efficiency tips; placed Earth Day advertisements in local newspapers, sharing 20-percent conservation message and water-use efficiency tips; water-use efficiency information shared at local community events.     May 2014: Filed revised Rule 14.1 to comply with CPUC Resolution W-4976 that prohibits outdoor water waste; water-use efficiency information shared at local community events.    July 2014: Shared State Water Resource Control Boardâ€™s (SWRBC) new outdoor urban water regulations and water-use efficiency tips via website articles and an email to stakeholders; supplied customer-facing employees with talking points to address the new SWRCB regulations and encourage water-use efficiency; water-use efficiency information shared at local community events.    August 2014: Implemented Stage II of our Water Shortage Contingency Plans (WSCP) for all systems; informed customers of SWRCB regulations via bill message; detailed SWRCB regulations in an e-newsletter article; water-use efficiency information shared at local community events.    Please see www.gswater.com for additional information.  ",,," 384,635,024 "," 414,613,356 ",91%,No Correction Needed
