,,,,,,,,,,,,,,,,California Water Service,,
Lee Lake Water District,Lee Lake Water ,Lee Lake Water ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  ,Lee Lake  
Livingston  City of,Livingston  City of,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  ,Livingston  
Madera County,Madera County,Madera County,Madera County,Madera County,Madera County,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera ,Madera 
Manteca  City of,Manteca  City of,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  ,Manteca  
Montecito Water District,Montecito Water ,Montecito Water ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  ,Montecito  
Monterey Park  City of,Monterey Park  City of,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  ,Monterey Park  
Myoma Dunes Mutual Water Company,Myoma Dunes Mutual Water Company,Myoma Dunes Mutual Water Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  Company,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  ,Myoma Dunes Mutual  
Norco  City of,Norco  City of,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  ,Norco  
Oakdale  City of,Oakdale  City of,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  ,Oakdale  
"Perris, City of","Perris, City of","Perris, ","Perris, ",Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris ,Perris 
Pinedale County Water District,Pinedale County Water ,Pinedale County Water ,Pinedale County  ,Pinedale County  ,Pinedale County  ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   ,Pinedale   
Porterville  City of,Porterville  City of,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  ,Porterville  
Redding  City of,Redding  City of,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  ,Redding  
Ripon  City of,Ripon  City of,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  ,Ripon  
Riverbank  City of,Riverbank  City of,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  ,Riverbank  
San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino County Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70,San Bernardino  Service Area 70
Sanger  City of,Sanger  City of,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  ,Sanger  
Shasta Lake  City of,Shasta Lake  City of,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  ,Shasta Lake  
Vallejo  City of,Vallejo  City of,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  ,Vallejo  
Winton Water & Sanitary District,Winton Water & Sanitary ,Winton Water & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary ,Winton  & Sanitary 
Big Bear City Community Services District,Big Bear City Community Services ,Big Bear City Community Services ,Big Bear City Community Services ,Big Bear City Community Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City  Services ,Big Bear City   ,Big Bear City   ,Big Bear City   ,Big Bear City   
"Corcoran, City of","Corcoran, City of","Corcoran, ","Corcoran, ",Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran ,Corcoran 
City of Newman Water Department,City of Newman Water Department, Newman Water Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department, Newman  Department
Coalinga City of,Coalinga City of,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga ,Coalinga 
